Title,company,location,job_type,Experience_level,Experience_year,categories,department,Number_of_skills
Senior Software Pre Sales - Banking,KnowledgeNet,Riyadh,Full Time,Experienced,Unknown,IT/Software Development,Engineering - Telecom/Technology,7
Senior Full Stack Engineer - Web Applications,Careem,Dubai,Full Time,Experienced,Unknown,Creative/Design/Art,Engineering - Telecom/Technology,7
Palliative  Care Experts - Become a Dubai Healthcare Leader,Allocation Assist Middle East,Dubai,Full Time,Entry Level,Unknown,IT/Software Development,Engineering - Telecom/Technology,7
Sales Manager MICE,Rixos Hotels,Makkah,Full Time,Entry Level,Unknown,Customer Service/Support,Sales/Retail,7
Female GI Specialists in High Demand - Join Dubai’s Elite Gastroenterology Teams,Allocation Assist Middle East,Dubai,Full Time,Experienced,Unknown,Marketing/PR/Advertising,Media/Journalism/Publishing,7
Engineer - Saudi Arabia,Eram Talent,Makkah,Full Time,Entry Level,Unknown,IT/Software Development,Engineering - Mechanical/Electrical,7
PICU Experts Needed - Be Part of Saudi Arabia’s Healthcare Revolution,Allocation Assist Middle East,Dubai,Full Time,Experienced,Unknown,IT/Software Development,Engineering - Telecom/Technology,7
Join Dubai’s Surgical Innovation - Laparoscopic Urologists Wanted,Allocation Assist Middle East,Dubai,Full Time,Not specified,Unknown,IT/Software Development,Engineering - Telecom/Technology,7
System Engineer,Yokogawa,Dubai,Full Time,Entry Level,Unknown,Installation/Maintenance/Repair,Engineering - Telecom/Technology,7
"Manager, Account Management",Mastercard,Riyadh,Full Time,Experienced,Unknown,Operations/Management,Sales/Retail,7
Team Leader,CELINE,Riyadh,Full Time,Experienced,Unknown,IT/Software Development,Engineering - Telecom/Technology,7
Senior FullStack (m/f/d),Halian,Riyadh,Full Time,Experienced,Unknown,IT/Software Development,Information Technology (IT),7
Account Manager Cisco,Ingram Micro,Makkah,Full Time,Entry Level,Unknown,Customer Service/Support,Sales/Retail,7
Senior Manager - PR & Communications,Marriott International,Dubai,Freelance / Project,Experienced,Unknown,IT/Software Development,Sales/Retail,7
Project Manager - MEP,Mace,Riyadh,Full Time,Not specified,Unknown,Engineering - Construction/Civil/Architecture,Project/Program Management,7
Hotel Sales Executive,Al Rugaib Holding Company,Riyadh,Full Time,Experienced,Unknown,Business Development,Sales/Retail,7
Marketing Communications Manager,Abdullah Hashim Co. Ltd,Makkah,Full Time,Not specified,Unknown,Marketing/PR/Advertising,Media/Journalism/Publishing,7
Mechanical Inspection Specialist,Asmacs Qatar,Riyadh,Full Time,Entry Level,Unknown,R&D/Science,Engineering - Mechanical/Electrical,7
General Manager - Operations & Growth (Oilfield Services),S&K HR Consulting,Dubai,Full Time,Manager,Unknown,Accounting/Finance,Sales/Retail,7
Project Engineer,Petro Rabigh,Makkah,Full Time,Not specified,Unknown,Engineering - Construction/Civil/Architecture,Engineering - Mechanical/Electrical,7
Senior Marketing Manager - Marketing and Communications Group (UAE National Only ),Mashreq,Dubai,Full Time,Experienced,Unknown,Marketing/PR/Advertising,Media/Journalism/Publishing,7
Sales Associate (Dubai),Third Bridge Group,Dubai,Full Time,Entry Level,Unknown,Business Development,Sales/Retail,7
"Assistant Manager, Key Account Management",Nestlé,Riyadh,Full Time,Entry Level,Unknown,Customer Service/Support,Sales/Retail,7
Curator of Knowledge and Transformation,Emdad Al Khebrat,Riyadh,Full Time,Experienced,Unknown,IT/Software Development,Engineering - Telecom/Technology,7
UAE National - Teaching Assistant,American University of Kuwait (AUK),Dubai,Full Time,Not specified,Unknown,Administration,Marketing/PR/Advertising,7
Account Director - Luxury,ASTUDIO,Dubai,Full Time,Manager,Unknown,Customer Service/Support,Sales/Retail,7
Technical Solutions Executive (Saudi National),Autodesk,Riyadh,Full Time,Experienced,Unknown,IT/Software Development,Engineering - Telecom/Technology,7
Executive - Operations,LEO MEA (Middle East & Africa),Riyadh,Full Time,Not specified,Unknown,Customer Service/Support,Sales/Retail,7
Executive - Operations,Publicis Groupe,Riyadh,Full Time,Entry Level,Unknown,Customer Service/Support,Sales/Retail,7
Principal Engineer - Wet Utilities,KEO International Consultants,Riyadh,Full Time,Experienced,Unknown,Customer Service/Support,Engineering - Telecom/Technology,7
Airport Services Manager - Dammam,Qatar Airways,Riyadh,Full Time,Experienced,Unknown,Customer Service/Support,Operations/Management,7
Team Lead-Restaurant,Marriott International,Dubai,Full Time,Experienced,Unknown,IT/Software Development,Engineering - Telecom/Technology,7
"SENIOR ENGINEER, HSE (TECHNICAL RISK)",ADNOC Group,Dubai,Full Time,Experienced,Unknown,IT/Software Development,Engineering - Mechanical/Electrical,7
Strategic Commercial Director: Monetization & Revenue Growth,Greenfix Property Care,Riyadh,Full Time,Manager,Unknown,Business Development,Sales/Retail,7
"Head of Department – Pediatrics (American Board, Arabic Speaker) - Qatar",Allocation Assist Middle East,Dubai,Full Time,Manager,Unknown,Operations/Management,Education/Teaching,7
