Title,company,location,job_type,Experience_level,Experience_year,categories,department,Number_of_skills
Mail & Chat Agent (B2 English Speakers) - e&UAE,Etisalat Egypt,Maadi,Full Time,Entry Level,0.0,Customer Service/Support,Customer Service,8
Mail & Chat Agent (B2 English Speakers) e&UAE,Etisalat Egypt,Maadi,Full Time,Entry Level,0.0,Customer Service/Support,Customer Service,8
Marketplace Coordinator,Carina Wear,New Cairo,Full Time,Entry Level,1.0,Operations/Management,Operations/Management,9
Sales Analyst,NILEWOOD,Alsadat City,Full Time,Experienced,3.0,Analyst/Research,Sales/Retail,11
Cost Accountant,GBE Logistics,Riyadh,Full Time,Entry Level,1.0,Accounting/Finance,Logistics/Supply Chain,8
Senior Program Field Officer- Middle East & North Africa (MENA),MiracleFeet,Cairo,Full Time,Experienced,6.0,Project/Program Management,Goverment Relations,8
Program Field Officer - East Asia & Pacific (Indonesia),MiracleFeet,Batang,Full Time,Experienced,Unknown,Project/Program Management,Stakeholder Engagement,8
Account Manager,ADEXEC LTD,London,Full Time,Experienced,Unknown,Marketing/PR/Advertising,Purchasing/Procurement,7
Digital Fundraising Lead,Confidential,Cairo,Full Time,Manager,4.0,Business Development,Marketing/PR/Advertising,7
Senior Membership-Specialist,STM,Mokattam,Full Time,Experienced,3.0,Administration,Membership Management,8
Key Account Manager,Intaj Alamal,Maadi,Full Time,Experienced,3.0,Business Development,Customer Service/Support,8
General Accountant,Cizaro,New Cairo,Full Time,Experienced,1.0,Accounting/Finance,General ledger management,8
OTA Account Manager,HotelsWave,Shorouk City,Full Time,Experienced,2.0,Hospitality/Hotels/Food Services,Marketing/PR/Advertising,8
Store Keeper,GROOVY Medical Spa,Heliopolis,Full Time,Entry Level,0.0,Accounting/Finance,Inventory Management,8
Planning Engineer (Electrical Field),JFC GLORY,Dabaa,Full Time,Experienced,Unknown,Engineering - Mechanical/Electrical,Engineering - Other,8
Continuous Improvement Engineer,ICON Holding,Helwan,Full Time,Experienced,2.0,Manufacturing/Production,Quality,8
CEO of a Medical Center,Medicascope,Riyadh,Full Time,Senior Management,7.0,Operations/Management,Medical/Healthcare,8
Senior OD & Talent Acquisition Specialist,Confidential,Giza,Full Time,Experienced,4.0,Human Resources,Talent Acquisition,5
Business Product Manager – Mzad Qatar,Adjan Technology,Cairo,Full Time,Manager,4.0,Business Development,IT/Software Development,7
Product Supervisor,Safa International Travel,Dokki,Full Time,Experienced,5.0,Business Development,Operations/Management,8
Sustainability Coordinator/Specialist,Olam SVI,6th of October,Full Time,Entry Level,1.0,Quality,Analyst/Research,8
media buyer,Sky land development,6th of October,Part Time,Experienced,4.0,Marketing/PR/Advertising,Media/Journalism/Publishing,8
IT Professional with AI Expertise,Confidential,Riyadh,Full Time,Experienced,5.0,IT/Software Development,Software Engineering,8
HSE Specialist,Royal Herbs,Bahariya Oasis,Full Time,Experienced,2.0,R&D/Science,R&D/Science,9
Receptionist/Admin Assistant,Confidential,New Cairo,Full Time,Entry Level,1.0,Administration,Customer Service/Support,8
Search Engine Optimization Specialist,Confidential,Cairo,Full Time,Experienced,2.0,Marketing/PR/Advertising,Media/Journalism/Publishing,8
Senior Planning Specialist,ariika,New Cairo,Full Time,Experienced,3.0,Operations/Management,Supply Chain Management,6
Operations Specialist,Fixcrowd,Nasr City,Full Time,Experienced,1.0,Customer Service/Support,Logistics/Supply Chain,8
Senior Search Engine Optimization Specialist,AssureNet,New Cairo,Full Time,Experienced,2.0,Marketing/PR/Advertising,Search Engine Optimization (SEO),8
Marketing Manager- Tech industry,El Delta Electronic Systems,Nasr City,Full Time,Manager,12.0,Marketing/PR/Advertising,Media/Journalism/Publishing,8
Material Planner,Boysen Egypt,6th of October,Full Time,Entry Level,3.0,Logistics/Supply Chain,Manufacturing/Production,8
Talent Acquisition Section Head,Egyptian Company for Cosmetics,Nasr City,Full Time,Manager,Unknown,Human Resources,Talent Acquisition,4
Automotive Spare Parts Manager,Confidential,6th of October,Full Time,Manager,7.0,Logistics/Supply Chain,Operations/Management,8
Inventory Manager,Woodpro,Abu Rawash,Full Time,Manager,Unknown,Logistics/Supply Chain,ERP Systems,7
CRM Agent (Customer Service)-Saudi Arabia,L'azurde for Jewelry,Riyadh,Full Time,Entry Level,0.0,Customer Service/Support,Customer Relationship Management,8
Senior Reconciliation & Settlement Officer,Khales,Smart Village,Full Time,Experienced,2.0,Banking,Reconciliation,8
Production Supervisor,OPPO Egypt  Manufacturing,10th of Ramadan City,Full Time,Manager,1.0,Manufacturing/Production,Engineering - Other,7
Survey Engineer,Professional Service - Proserv,Alexandria,Full Time,Entry Level,0.0,Engineering - Construction/Civil/Architecture,Surveying,1
Inventory Accountant,ABCO Group,Bourj Alarab,Full Time,Entry Level,1.0,Accounting/Finance,Accounting/Finance,9
Quality Assurance Specialist,Kama Manufacturing,10th of Ramadan City,Full Time,Entry Level,2.0,R&D/Science,Quality,8
Pavement Assessment Engineer,Citylogix ME,Katameya,Full Time,Entry Level,0.0,Engineering - Construction/Civil/Architecture,Pavement assessment,5
Planning Manager - Industrial Field,EGA GROUP,6th of October,Full Time,Manager,4.0,Logistics/Supply Chain,Project Planning,8
Training & Quality Senior Manager,Etisalat Egypt,Maadi,Full Time,Senior Management,Unknown,Customer Service/Support,Quality,8
Call Center Agent,Upwyde,New Cairo,Full Time,Experienced,1.0,Customer Service/Support,Customer Service,6
financial analyst,GV Investment Group,Cairo,Full Time,Experienced,3.0,Accounting/Finance,Business Development,6
Real Estate Sales Manager,Gulf Data International,Heliopolis,Full Time,Experienced,5.0,Sales/Retail,Real Estate Market Analysis,8
Senior Procurement Specialist,Fabric Tex,10th of Ramadan City,Full Time,Experienced,3.0,Marketing/PR/Advertising,Marketing/PR/Advertising,9
Marketing Manager,Gulf Data International,Heliopolis,Full Time,Experienced,3.0,Marketing/PR/Advertising,Sales/Retail,8
Senior Financial Analyst,CatchCo,Berkeley,Full Time,Experienced,3.0,Accounting/Finance,Financial modeling,8
Production Engineer,Confidential,10th of Ramadan City,Full Time,Experienced,2.0,Manufacturing/Production,Engineering - Mechanical/Electrical,8
Sales Executive,SM,Giza,Full Time,Entry Level,1.0,Business Development,Sales/Retail,8
Quality Engineer,nahrain company,New Cairo,Full Time,Experienced,Unknown,Sales/Retail,Sales/Retail,9
Senior Digital Solutions Engineer,Alpha Data Recruitment,Cairo,Full Time,Experienced,Unknown,IT/Software Development,Engineering - Telecom/Technology,10
Credit & AR Accountant,Confidential,Alsadat City,Full Time,Experienced,2.0,Accounting/Finance,Banking,8
Category Product Specialist,Raya Distribution,Maadi,Full Time,Entry Level,1.0,Marketing/PR/Advertising,Sales/Retail,6
Media buyer,7tec,New Cairo,Full Time,Experienced,2.0,Marketing/PR/Advertising,Media/Journalism/Publishing,8
Quality Specialist ( Hospitals Experience ),Saudi German Hospital,New Nozha,Full Time,Experienced,2.0,Medical/Healthcare,Quality,8
Production Planning Specialist,Giza Seeds and Herbs,Giza,Full Time,Entry Level,0.0,Logistics/Supply Chain,Manufacturing/Production,8
Purchasing Officer,Narmer International College,New Cairo,Full Time,Experienced,3.0,Accounting/Finance,Purchasing/Procurement,8
HR Specialist,Three Arrows company,Cairo,Full Time,Entry Level,Unknown,Administration,Administration,9
English Team leader - BPO.,Intouch CX,Sheikh Zayed,Full Time,Entry Level,1.0,Customer Service/Support,Customer Service Management,6
Odoo Trainee (Implementation Team),ITSS,Maadi,Internship,Entry Level,Unknown,Accounting/Finance,Communication,7
Stock controller and shipping coordinator,Al Reda Company for Import & Export,Nasr City,Full Time,Manager,1.0,Logistics/Supply Chain,Operations/Management,8
Cashier Accountant,Elsewedy industries,New Cairo,Full Time,Entry Level,1.0,Accounting/Finance,Cash handling,5
E-Commerce Operation Lead,Consolidated Casuals Group,Cairo,Full Time,Experienced,2.0,Customer Service/Support,Logistics/Supply Chain,4
ERP Functional Consultant,Global Business solutions - GBS,Nasr City,Full Time,Experienced,2.0,IT/Software Development,ERP Implementation,8
Logistics CO Ordinator,Nassar Group,Qalyub,Full Time,Entry Level,1.0,Administration,Administration,8
Performance Marketing Specialist,Medicascope,Cairo,Full Time,Experienced,Unknown,Marketing/PR/Advertising,Media/Journalism/Publishing,8
Medical Call Center Manager,Confidential,New Cairo,Full Time,Manager,5.0,Customer Service/Support,Medical/Healthcare,8
Senior Performance Marketer,التوحيد والنور,Mohandessin,Full Time,Experienced,3.0,Sales/Retail,Media Buying & Paid Ads Strategy,5
Distribution Controller,Confidential,Cairo,Full Time,Experienced,2.0,Logistics/Supply Chain,Logistics coordination,8
Route to Market Manager,Koning Food Industries,Cairo,Full Time,Manager,5.0,Sales/Retail,Route to Market Strategy,3
Budget Accountant,Selah ElTelmeez For Publishing & printing,Obour City,Full Time,Entry Level,1.0,Accounting/Finance,Analyst/Research,8
Receptionist,Healing House,Sheikh Zayed,Full Time,Entry Level,1.0,Administration,Administration,9
Purchasing Executive,Confidential,Mokattam,Full Time,Experienced,2.0,Administration,Administration,9
Warehouse Manager,Original International For trailers,Obour City,Full Time,Manager,8.0,Logistics/Supply Chain,Logistics/Supply Chain,9
Cost Accountant,الشرقية للضفائر الكهربائية -elsharkia for electric wiring harness,Belbes,Full Time,Experienced,5.0,Accounting/Finance,ERP Systems,3
Social Media Specialist,NURLINE,Madinaty,Full Time,Experienced,3.0,Marketing/PR/Advertising,Marketing/PR/Advertising,9
Document Controller,Confidential,New Cairo,Full Time,Experienced,2.0,Administration,Engineering - Construction/Civil/Architecture,8
HR Assistant,Rotem SRS,Cairo,Full Time,Entry Level,1.0,Administration,Human Resources,8
Office Secretary and Administrative Assistant,D Plus For Engineering & Contracting,New Cairo,Full Time,Experienced,4.0,Administration,Customer Service/Support,8
Sales Operations Specialist,BTC-Egypt Gold,Heliopolis,Full Time,Experienced,3.0,Customer Service/Support,Operations/Management,8
HR Specialist,Zamil Steel Buildings Co,6th of October,Full Time,Experienced,2.0,Administration,Human Resources,8
Assistant Brand Manager,Arab Otsuka Nutraceuticals,Cairo,Full Time,Experienced,2.0,Marketing/PR/Advertising,Marketing Strategy,8
مساعد اداري,Octa Food,Cairo,Full Time,Entry Level,1.0,Administration,Customer Service/Support,8
Junior Accountant,Lilly Landscape,Shorouk City,Full Time,Entry Level,0.0,Accounting/Finance,Accounting/Finance,9
Website Administrator,Hamad Hasan Clothing,Cairo,Full Time,Experienced,2.0,Administration,IT/Software Development,8
Production Planner,Sumitomo Electric Egypt,6th of October,Full Time,Entry Level,0.0,Logistics/Supply Chain,Manufacturing/Production,6
Chatbot Developer,Efada Technology,6th of October,Full Time,Entry Level,1.0,Installation/Maintenance/Repair,IT/Software Development,8
MIS Risk Analyst,Al Ahly capital holding - Al Ahly Tamkeen,Zamalek,Full Time,Experienced,3.0,Banking,Analyst/Research,8
IT Associate,Ninos Kids Wear,Maadi,Full Time,Experienced,3.0,IT/Software Development,Network administration,7
Accounting Clerk,WeLyra,New Cairo,Full Time,Entry Level,1.0,Accounting/Finance,Bookkeeping,3
Media Buyer,WeLyra,New Cairo,Full Time,Experienced,Unknown,Marketing/PR/Advertising,Media/Journalism/Publishing,7
E-Commerce Manager,Levai & Loris,New Cairo,Full Time,Manager,Unknown,Marketing/PR/Advertising,Media/Journalism/Publishing,8
Fleet Maintenance Supervisor,Speed international for trading and distribution,Tanta,Full Time,Manager,3.0,Installation/Maintenance/Repair,Installation/Maintenance/Repair,9
Senior Logistics Specialist,Giza Seeds and Herbs,6th of October,Full Time,Experienced,Unknown,Logistics/Supply Chain,Supply Chain Coordination,8
Surveying Manager,DME Holding,New Cairo,Full Time,Manager,10.0,Engineering - Construction/Civil/Architecture,Project/Program Management,8
Sr. Cost Control Engineer,Samman  Engineering & Consulting,Dokki,Full Time,Experienced,4.0,Engineering - Construction/Civil/Architecture,Engineering - Mechanical/Electrical,8
Production Engineer,Hayat,Ain Sokhna,Full Time,Entry Level,1.0,Manufacturing/Production,Engineering - Mechanical/Electrical,8
Field Service Assurance & CRM Analyst,Etisalat Egypt,Cairo,Full Time,Experienced,2.0,Engineering - Telecom/Technology,Field Service Management,6
Inventory Supervisor,Soudanco,Marg,Full Time,Experienced,5.0,Accounting/Finance,Logistics/Supply Chain,8
SEO Manager - Ecom Operations,Alshaya,Nasr City,Full Time,Manager,Unknown,Marketing/PR/Advertising,Analyst/Research,8
Material Planner,AWA Group,Cairo,Full Time,Experienced,2.0,Logistics/Supply Chain,Manufacturing/Production,8
Conversion Rate Optimisation (CRO) Manager - Digital Trading & Creative,Alshaya,Nasr City,Full Time,Manager,5.0,IT/Software Development,Marketing/PR/Advertising,8
Marketing & Growth Manager (B2C),Confidential,Giza,Full Time,Manager,6.0,Marketing/PR/Advertising,Sales/Retail,8
Analyst - Voice of Customer Insights,Alshaya,Nasr City,Full Time,Experienced,2.0,Analyst/Research,Data Analysis,8
Media Buyer,Aldabboos Group,Sheraton,Full Time,Experienced,3.0,Creative/Design/Art,Marketing/PR/Advertising,8
HR (L&D) Intern,Yes Pac,6th of October,Internship,Entry Level,Unknown,Administration,Training/Instructor,6
Warehouse Accountant,المصرية للصناعات الهندسية,Abu Rawash,Full Time,Experienced,1.0,Accounting/Finance,Logistics/Supply Chain,8
Marketing Manager,GPS,Zamalek,Full Time,Manager,Unknown,Marketing/PR/Advertising,Strategic Marketing Planning,8
Accounting Clerk,Coup,New Nozha,Full Time,Entry Level,1.0,Accounting/Finance,Banking,8
Fresh Accountant,Confidential,Cairo,Full Time,Entry Level,0.0,Accounting/Finance,Accounting/Finance,9
SQL Server Database Developer & Database Administrator,Tawfeer,Maadi,Full Time,Experienced,3.0,IT/Software Development,Engineering - Telecom/Technology,8
WorkForce Specialist (WFM),Etisalat Egypt,Maadi,Full Time,Entry Level,Unknown,Administration,Customer Service/Support,8
Senior Growth Marketing Executive,Stradigimc,Dubai,Full Time,Experienced,5.0,Marketing/PR/Advertising,CRM System,8
"Quality Control Manager "" Concrete Ready Mix """,Abu Gemeaa,Rehab City,Full Time,Manager,7.0,Engineering - Construction/Civil/Architecture,Engineering - Construction/Civil/Architecture,9
Accountant,Visit Stamp Inc,Nasr City,Full Time,Experienced,5.0,Accounting/Finance,Business Process Improvement,8
Planning Coordinator,FlexFilms Egypt,6th of October,Full Time,Entry Level,0.0,Manufacturing/Production,Manufacturing/Production,9
People & Culture Intern,Confidential,New Cairo,Full Time,Entry Level,0.0,Human Resources,Human Resources,8
Sourcing Specialist,Al Watania Poultry,Smart Village,Full Time,Experienced,1.0,Logistics/Supply Chain,Purchasing/Procurement,8
Customer Success Lead,Aqarmap.com,Nasr City,Full Time,Experienced,2.0,Customer Service/Support,IT/Software Development,8
Purchasing and cost Accountant,CONTROL PLUS TRADING,Haram,Full Time,Entry Level,0.0,Accounting/Finance,Cost Accounting,6
Infection Control Specialist,Mersal,Maadi,Full Time,Entry Level,1.0,R&D/Science,Logistics/Supply Chain,8
Accountant,Tiba Engineering Institution,Nasr City,Full Time,Experienced,5.0,Accounting/Finance,Banking,8
Payroll Supervisor,ABC For Industries,Badr City,Full Time,Experienced,3.0,Accounting/Finance,Human Resources,6
E commerce Product Listing Specialist,Dora Management Solutions,Sheraton,Full Time,Experienced,2.0,Marketing/PR/Advertising,Analyst/Research,7
Marketing Manager - Joe & The Juice,Sky Restaurants,Sheikh Zayed,Full Time,Manager,Unknown,Hospitality/Hotels/Food Services,Marketing/PR/Advertising,8
Quality Control Engineer,MM contracting and supplying,Cairo,Full Time,Experienced,7.0,Quality,Quality,9
